"party","lemma","n","log_odds_weighted"
"ANO","%",1,12.1329430747762
"ANO","+",3,6.00746023872198
"ANO","🇨🇿",4,6.64968516236284
"ANO","👍",3,6.29833076628541
"ANO","🙂",1,4.98750857280744
"ANO","administrativní",1,3.40279458180551
"ANO","akademie",2,5.19142330094978
"ANO","aktuální",1,6.19249132891892
"ANO","Alfréd",1,2.97400188785464
"ANO","Andrea",1,4.01815754041532
"ANO","asociace",16,11.2559739147246
"ANO","auto",1,5.59129459550647
"ANO","Babiš",1,11.313239391069
"ANO","bod",1,7.5414368131517
"ANO","boj",1,8.13317553267316
"ANO","bránit",1,8.82085808521485
"ANO","brzy",1,10.0837261904415
"ANO","budoucí",1,4.70175722984054
"ANO","byt",1,8.83970831352145
"ANO","být",7,25.019253106955
"ANO","celý",1,14.0470557608626
"ANO","cesta",3,11.458028793021
"ANO","cizí",1,5.25795924608873
"ANO","CNN",1,8.72210651549133
"ANO","covid",1,12.0160782572645
"ANO","CZESHA",4,5.94818716831992
"ANO","čas",2,9.3375835720346
"ANO","část",2,9.60322096662614
"ANO","Čau",11,9.86466224877091
"ANO","Čech",1,6.72477273624242
"ANO","čekat",1,6.19249132891892
"ANO","Černý",1,3.22563378155205
"ANO","červen",1,5.43004227706296
"ANO","Česko",1,8.13317553267316
"ANO","český",5,27.0682026395406
"ANO","činit",1,4.72392413520552
"ANO","číslo",1,8.38105872251018
"ANO","číst",1,5.6197366412966
"ANO","člen",2,11.8463064306901
"ANO","člověk",16,26.5945185847705
"ANO","ČR",6,15.9364360206653
"ANO","další",3,19.2955008402943
"ANO","daný",1,6.34508460042138
"ANO","data",1,5.54397798778435
"ANO","definitivně",1,4.98750857280744
"ANO","den",2,14.3478201416531
"ANO","deník",1,4.94378151663635
"ANO","denně",1,5.85424040170164
"ANO","didaktický",1,2.97400188785464
"ANO","Dikum",2,4.20591702891659
"ANO","díky",1,3.80273903909386
"ANO","disciplína",1,3.59961285711142
"ANO","distanční",1,5.34510511231969
"ANO","distribuce",1,3.83970315714179
"ANO","dnes",1,12.3796130571576
"ANO","dneska",2,4.02215428228583
"ANO","dnešní",2,8.91856709822604
"ANO","doba",1,14.2808691826679
"ANO","dobrý",1,14.2082028631259
"ANO","dobře",2,10.3913760472857
"ANO","dodávat",1,5.25795924608873
"ANO","domněnka",1,3.53449121414974
"ANO","domyslit",1,2.97400188785464
"ANO","doopravdy",1,3.53449121414974
"ANO","dopis",4,7.34215842445066
"ANO","Doporučovat",1,2.97400188785464
"ANO","dostat",5,11.2189948955061
"ANO","dotýkat",1,3.53449121414974
"ANO","doufat",1,8.800102339261
"ANO","držet",1,6.19249132891892
"ANO","důchod",1,11.0139547623987
"ANO","Dukovany",1,5.99727463094941
"ANO","důležitý",2,8.97960490753927
"ANO","důrazně",1,3.17548205922772
"ANO","důsledek",2,7.15403943398883
"ANO","Dvořák",1,10.7447942688584
"ANO","Dytrt",1,2.97400188785464
"ANO","EU",2,18.6553952457739
"ANO","Evropa",1,15.9077978288751
"ANO","evropský",1,21.9157836925269
"ANO","Facebook",1,4.72392413520552
"ANO","gymnázium",4,6.1969692348384
"ANO","hasič",1,4.98750857280744
"ANO","hejtman",2,6.9786330948364
"ANO","hlas",1,11.5056334254451
"ANO","hlasování",1,9.95033944373273
"ANO","hlasovat",1,13.3447088056009
"ANO","hlavní",1,7.20874395948667
"ANO","hmotný",1,8.16949867023365
"ANO","hned",1,5.9166606378086
"ANO","hodit",1,5.68046928396978
"ANO","hodně",3,18.8261158283748
"ANO","honba",1,2.97400188785464
"ANO","hotelový",2,4.20591702891659
"ANO","hotový",2,4.18083974458171
"ANO","hranice",2,12.6215301924927
"ANO","hraniční",1,3.22563378155205
"ANO","hrozba",1,6.29828941737875
"ANO","chaos",1,6.44356476120003
"ANO","chtít",10,23.5467594389648
"ANO","chvíle",2,6.9612056108546
"ANO","infrastruktura",1,3.94038121261133
"ANO","Ing",3,5.09959211981601
"ANO","inspekce",1,3.89542307065614
"ANO","Ivermektin",1,2.97400188785464
"ANO","jak",2,18.6703595189187
"ANO","Jan",1,12.5121613691342
"ANO","jasný",3,9.69790296239981
"ANO","jazyk",1,4.20482136714245
"ANO","jediný",2,12.7620773747252
"ANO","jednat",1,9.78063139580028
"ANO","ještě",4,12.2348833818518
"ANO","jet",2,4.19097538850595
"ANO","jinak",1,8.2778534656798
"ANO","JIPky",2,4.20591702891659
"ANO","Jiří",3,6.20029577863123
"ANO","jistě",2,4.81251487850134
"ANO","jít",2,16.144430284482
"ANO","kampaň",1,6.490772388494
"ANO","kapacita",1,10.3086754301751
"ANO","Karel",2,6.50055979951317
"ANO","kategorie",1,5.69898721614479
"ANO","kde",2,12.0074775962562
"ANO","KDU",1,13.6212171014802
"ANO","kdy",1,13.3218199935766
"ANO","klasický",1,6.04180740662573
"ANO","kolabovat",1,4.55645785019506
"ANO","kolaps",1,5.51971027179291
"ANO","konání",2,5.19142330094978
"ANO","konat",2,6.12271627739525
"ANO","konec",1,8.62200140256729
"ANO","kontrola",1,7.75538625606794
"ANO","koronavir",1,6.23629197104865
"ANO","koruna",1,16.7054021636007
"ANO","kraj",1,10.9686068525235
"ANO","krásný",1,5.75109404081098
"ANO","kritický",1,6.05531300317695
"ANO","KSČM",1,12.6171462529212
"ANO","Kuhn",1,2.97400188785464
"ANO","kultura",1,6.89970062242438
"ANO","Květný",1,2.97400188785464
"ANO","letošní",5,9.16108540609449
"ANO","lidskost",1,3.17548205922772
"ANO","lidský",1,6.89970062242438
"ANO","logicky",1,5.19019375968805
"ANO","mail",2,4.38169970562257
"ANO","Mareš",1,2.97400188785464
"ANO","masívní",1,4.20482136714245
"ANO","maturita",3,8.64101194386731
"ANO","maturitní",12,9.8735607942036
"ANO","maturovat",1,2.97400188785464
"ANO","maximální",1,5.85424040170164
"ANO","MBA",1,2.97400188785464
"ANO","Mgr",3,5.35745194601956
"ANO","Michal",1,4.97026577891915
"ANO","MIKROMANAGEMENT",1,2.97400188785464
"ANO","ministerstvo",1,9.83642276627065
"ANO","ministr",2,16.2642379675061
"ANO","minuta",4,8.01853382772353
"ANO","místo",1,12.3128174290349
"ANO","místopředseda",2,6.78816788227209
"ANO","mít",9,38.1941341513861
"ANO","mluvit",1,6.61757449048538
"ANO","moc",1,10.1378768602548
"ANO","moci",11,24.78769236484
"ANO","mocus",1,2.97400188785464
"ANO","možný",2,10.6001159783284
"ANO","mrzet",1,3.40279458180551
"ANO","MŠMT",1,3.22563378155205
"ANO","muset",3,21.6940377578913
"ANO","mutace",1,4.94378151663635
"ANO","nahrazení",1,4.52039158191728
"ANO","nakažený",1,4.97026577891915
"ANO","naočkovaný",1,4.7366644479881
"ANO","naočkovat",1,6.51391344916085
"ANO","náprava",1,5.03902581469819
"ANO","například",2,14.1541503910906
"ANO","napsat",1,9.59828845337023
"ANO","náročný",1,5.85424040170164
"ANO","národní",2,12.0943836486908
"ANO","narůst",1,3.94253261274861
"ANO","nárůst",1,5.88894108117117
"ANO","narychlo",1,2.97400188785464
"ANO","nařídit",1,7.65977874097652
"ANO","následovat",1,5.69898721614479
"ANO","natočit",1,3.17548205922772
"ANO","navrhnout",1,9.0999609939494
"ANO","navržený",1,6.04180740662573
"ANO","názor",2,11.0252409010805
"ANO","neděle",1,4.15146617612605
"ANO","nechat",1,10.1917447278102
"ANO","Nekuda",1,2.97400188785464
"ANO","Německo",2,10.1784384339339
"ANO","nemocnice",2,8.28387756508366
"ANO","neustále",1,5.64608321770739
"ANO","News",1,2.97400188785464
"ANO","nízko",1,5.33451160792832
"ANO","noční",1,4.05510548981473
"ANO","nouzový",7,16.0838557119403
"ANO","novela",1,10.5396631924246
"ANO","nový",3,14.6992868594734
"ANO","NR",1,2.97400188785464
"ANO","O",1,3.22563378155205
"ANO","obávat",1,5.03902581469819
"ANO","občan",2,21.8051232655972
"ANO","obcházet",1,4.94378151663635
"ANO","obchodní",2,5.99430372586631
"ANO","oblast",1,7.72013542195221
"ANO","oblíbený",1,3.61827363297673
"ANO","očekávat",1,3.79508273615344
"ANO","očkovací",1,4.55873364496297
"ANO","očkování",9,11.5446110930583
"ANO","očkovaný",1,6.44356476120003
"ANO","očkovat",2,8.90856352645016
"ANO","odpovědně",1,3.80273903909386
"ANO","odpovědnost",1,9.6397631698638
"ANO","ODS",1,13.9526473350035
"ANO","ohrazovat",1,2.97400188785464
"ANO","ohrozit",1,4.32885833848372
"ANO","omezit",1,6.54543538441038
"ANO","onemocnět",1,2.97400188785464
"ANO","opatření",1,16.5104631371072
"ANO","opozice",1,6.19249132891892
"ANO","opoziční",3,5.83586579983462
"ANO","opravdu",1,8.46215929137449
"ANO","organizace",1,9.35176388095913
"ANO","osobní",1,9.0999609939494
"ANO","ostatně",1,5.84100153400823
"ANO","ostatní",1,12.2525887916223
"ANO","otevřený",2,5.01159055479514
"ANO","otevřít",4,7.95929263645935
"ANO","označit",1,5.6197366412966
"ANO","pacient",1,6.70677193482077
"ANO","PaedDr",1,2.97400188785464
"ANO","pak",2,10.2320805798877
"ANO","paluba",1,4.72252648681464
"ANO","pan",2,9.27886453749175
"ANO","pandemie",1,9.38095564889284
"ANO","pár",2,6.22454971575253
"ANO","pevně",2,4.09584363626441
"ANO","PhDr",2,4.20591702891659
"ANO","pin",2,4.20591702891659
"ANO","pirát",1,21.9328482165463
"ANO","písemný",1,4.25997801741684
"ANO","plán",1,8.13317553267316
"ANO","plnit",1,5.41410467956398
"ANO","plus",3,5.62656804232473
"ANO","počkat",2,5.57577081353053
"ANO","podepsaný",1,3.89542307065614
"ANO","podílet",1,4.39553267804589
"ANO","podoba",1,7.38136972882657
"ANO","podpora",1,16.5272683171664
"ANO","pochopení",1,3.24831160591393
"ANO","pochopitelně",1,6.39376557271136
"ANO","politický",1,14.905575044197
"ANO","politikařit",1,4.25997801741684
"ANO","pololetí",2,4.20591702891659
"ANO","Polsko",1,6.86108564950075
"ANO","pomoci",2,10.7285556384822
"ANO","poskytovat",1,4.15146617612605
"ANO","poslanec",4,14.2123070637794
"ANO","poslat",2,4.66486829827852
"ANO","poslední",2,9.65425815164564
"ANO","poslechnout",2,4.51193066506401
"ANO","pouze",1,12.4681311882299
"ANO","považovat",1,7.61341427457284
"ANO","povést",1,5.44441715995923
"ANO","povinnost",2,7.70401981389716
"ANO","povinný",1,8.32555437839209
"ANO","povolený",1,4.05510548981473
